published_headword	text_spelling	source_locator
-dzomba	dzomha	hannan:page_151:entry_033:dzomba
-dzwanda	dzvanda	hannan:page_157:entry_022:dzwanda
-imba	imha	hannan:page_240:entry_034:imba
-kwadadziwa	kwadadziva	hannan:page_1004:entry_019:-kwadadziwa
-nava	nawa	hannan:page_437:entry_021:nava
-nguva	nguwa	hannan:page_457:entry_018:nguva
-tewa	teva	hannan:page_645:entry_032:-tewa
-zvuva	zvuwa	hannan:page_757:entry_018:zvuva
chigaraguhwe	chigaragubwe	hannan:page_066:entry_002:chigaraguhwe
chimharendaita	chimbarendaita	hannan:page_077:entry_001:chimharendaita
chimhukutira	chimbukutira	hannan:page_077:entry_027:chimhukutira
chinyamumbupuri	chinyamumhupuri	hannan:page_082:entry_053:chinyamumbupuri
dambi	damhi	hannan:page_108:entry_022:dambi
datswa	datsva	hannan:page_112:entry_044:datswa
dikabaha	dikahaha	hannan:page_128:entry_041:dikabaha
dombambou	dombamhou	hannan:page_134:entry_001:dombambou
donhwe	donbwe	hannan:page_135:entry_006:donhwe
donzvambewa	donzvambeva	hannan:page_135:entry_022:donzvambewa
dovo	dowo	hannan:page_136:entry_026:dovo
dumbe	dumhe	hannan:page_138:entry_030:dumbe
duva	duwa	hannan:page_141:entry_052:duva
dzambora	dzamhora	hannan:page_145:entry_011:dzambora
dzambu	dzamhu	hannan:page_145:entry_012:dzambu
dzomba	dzomha	hannan:page_151:entry_032:dzomba
dzwanda	dzvanda	hannan:page_157:entry_021:dzwanda
gawa	gava	hannan:page_186:entry_030:gawa
gumhunga	gumbunga	hannan:page_199:entry_020:gumhunga
hobvu	hobwu	hannan:page_223:entry_036:hobvu
hohe	hobe	hannan:page_223:entry_022:hohe
hohwo	hobwo	hannan:page_224:entry_010:hohwo
hohwu	hobwu	hannan:page_224:entry_012:hohwu
hohwuno	hobwuno	hannan:page_224:entry_013:hohwuno
hohwuya	hobwuya	hannan:page_224:entry_015:hohwuya
hubwa	huhwa	hannan:page_227:entry_060:hubwa
humba	humha	hannan:page_228:entry_035:humba
imba	imha	hannan:page_240:entry_033:imba
ipswa	ipsva	hannan:page_241:entry_054:ipswa
iwava	iwawa	hannan:page_243:entry_019:iwava
jambara	jamhara	hannan:page_246:entry_010:jambara
jambu	jamhu	hannan:page_246:entry_011:jambu
jetamakurve	jetamakurwe	hannan:page_250:entry_031:jetamakurve
jirirambuno	jiriramhuno	hannan:page_252:entry_002:jirirambuno
kanyakapfuwe	kanyakapfuve	hannan:page_264:entry_013:kanyakapfuwe
kaseweramudama	kaseveramudama	hannan:page_268:entry_030:kaseweramudama
kasvosvambewa	kasvosvambeva	hannan:page_269:entry_023:kasvosvambewa
kwadadziwa	kwadadziva	hannan:page_1004:entry_020:kwadadziwa
macharimhiri	macharimbiri	hannan:page_1004:entry_029:macharimhiri
mamheya	mambeya	hannan:page_321:entry_026:mamheya
manhanha	manbanha	hannan:page_323:entry_036:manhanha
mhemba	mhemha	hannan:page_351:entry_028:mhemba
murovamhuru	murovamburu	hannan:page_402:entry_041:murovamhuru
nguva	nguwa	hannan:page_457:entry_017:nguva
nyumbu	nyumhu	hannan:page_494:entry_014:nyumbu
nzwaiwhi	nzwaivhi	hannan:page_500:entry_031:nzwaiwhi
pamhamu	pambamu	hannan:page_506:entry_036:pamhamu
puva	puwa	hannan:page_547:entry_030:puva
simbe	simhe	hannan:page_612:entry_030:simbe
umharadzo	umbaradzo	hannan:page_701:entry_001:umharadzo
umhenhumhenhu	umhenhumbenhu	hannan:page_701:entry_004:umhenhumhenhu
vuvo	vuwo	hannan:page_729:entry_033:vuvo
