headword	stored_pattern	source_locator
bve bve	HHH	hannan:page_034:entry_035:bve_bve
kururu kururu	HHH	hannan:page_294:entry_022:kururu-kururu
kwa kwa kwa	L	hannan:page_297:entry_034:kwa-kwa-kwa
kwabada kwabada	LLL	hannan:page_297:entry_040:kwabada-kwabada
kwakwara kwakwara	LLL	hannan:page_300:entry_001:kwakwara-kwakwara
kwakwari kwakwari	LLL	hannan:page_300:entry_003:kwakwari-kwakwari
kwakwasha kwakwasha	LLL	hannan:page_300:entry_007:kwakwasha-kwakwasha
kwangwandi kwangwandi	LLH	hannan:page_301:entry_008:kwangwandi-kwangwandi
kwangwazhi kwangwazhi	LLL	hannan:page_301:entry_020:kwangwazhi-kwangwazhi
kwarau kwarau	LLL	hannan:page_302:entry_022:kwarau-kwarau
kwashara kwashara	LLL	hannan:page_302:entry_038:kwashara-kwashara
kwasvai kwasvai	HHL	hannan:page_302:entry_049:kwasvai-kwasvai
kwasvai kwasvai	LLL	hannan:page_302:entry_049:kwasvai-kwasvai
ndo ndo ndo	H	hannan:page_441:entry_045:ndo_ndo_ndo
ndo ndo ndo	L	hannan:page_441:entry_047:ndo_ndo_ndo
ndu ndu ndu	H	hannan:page_443:entry_018:ndu_ndu_ndu
ndu-u ndu-u ndu-u	H	hannan:page_443:entry_019:ndu-u_ndu-u_ndu-u
ndunduru ndunduru	HLL	hannan:page_444:entry_006:ndunduru_ndunduru
ndyu ndyu	H	hannan:page_445:entry_044:ndyu_ndyu
ndyu ndyu ndyu	H	hannan:page_445:entry_045:ndyu_ndyu_ndyu
nenere nenere	HLL	hannan:page_446:entry_025:nenere_nenere
n'a n'a n'a	H	hannan:page_447:entry_047:na_na_na
n'a n'a	L	hannan:page_447:entry_050:na_na
n'a dzi n'a dzi	L	hannan:page_447:entry_051:na_dzi_na_dzi
shwa shwaba shwaba	LH LH	hannan:page_610:entry_005:shwa shwaba shwaba
ti ti ti (ti, ti ...)	L L L	hannan:page_646:entry_008:ti_ti_ti
